id,add01,title01,add02,title
2,"""",Ariel,"""","""Ariel"""
5,"""",Four Rooms,"""","""Four Rooms"""
6,"""",Judgment Night,"""","""Judgment Night"""
11,"""",Star Wars,"""","""Star Wars"""
12,"""",Finding Nemo,"""","""Finding Nemo"""
13,"""",Forrest Gump,"""","""Forrest Gump"""
14,"""",American Beauty,"""","""American Beauty"""
15,"""",Citizen Kane,"""","""Citizen Kane"""
16,"""",Dancer in the Dark,"""","""Dancer in the Dark"""
18,"""",The Fifth Element,"""","""The Fifth Element"""
19,"""",Metropolis,"""","""Metropolis"""
20,"""",My Life Without Me,"""","""My Life Without Me"""
21,"""",The Endless Summer,"""","""The Endless Summer"""
22,"""",Pirates of the Caribbean: The Curse of the Black Pearl,"""","""Pirates of the Caribbean: The Curse of the Black Pearl"""
24,"""",Kill Bill: Vol. 1,"""","""Kill Bill: Vol. 1"""
25,"""",Jarhead,"""","""Jarhead"""
26,"""",Walk on Water,"""","""Walk on Water"""
28,"""",Apocalypse Now,"""","""Apocalypse Now"""
33,"""",Unforgiven,"""","""Unforgiven"""
35,"""",The Simpsons Movie,"""","""The Simpsons Movie"""
38,"""",Eternal Sunshine of the Spotless Mind,"""","""Eternal Sunshine of the Spotless Mind"""
55,"""",Amores perros,"""","""Amores perros"""
58,"""",Pirates of the Caribbean: Dead Man's Chest,"""","""Pirates of the Caribbean: Dead Man's Chest"""
59,"""",A History of Violence,"""","""A History of Violence"""
62,"""",2001: A Space Odyssey,"""","""2001: A Space Odyssey"""
63,"""",Twelve Monkeys,"""","""Twelve Monkeys"""
64,"""",Talk to Her,"""","""Talk to Her"""
65,"""",8 Mile,"""","""8 Mile"""
66,"""",Absolute Power,"""","""Absolute Power"""
67,"""",Paradise Now,"""","""Paradise Now"""
68,"""",Brazil,"""","""Brazil"""
69,"""",Walk the Line,"""","""Walk the Line"""
70,"""",Million Dollar Baby,"""","""Million Dollar Baby"""
71,"""",Billy Elliot,"""","""Billy Elliot"""
73,"""",American History X,"""","""American History X"""
74,"""",War of the Worlds,"""","""War of the Worlds"""
75,"""",Mars Attacks!,"""","""Mars Attacks!"""
76,"""",Before Sunrise,"""","""Before Sunrise"""
77,"""",Memento,"""","""Memento"""
78,"""",Blade Runner,"""","""Blade Runner"""
79,"""",Hero,"""","""Hero"""
80,"""",Before Sunset,"""","""Before Sunset"""
81,"""",Nausicaä of the Valley of the Wind,"""","""Nausicaä of the Valley of the Wind"""
82,"""",Miami Vice,"""","""Miami Vice"""
83,"""",Open Water,"""","""Open Water"""
85,"""",Raiders of the Lost Ark,"""","""Raiders of the Lost Ark"""
86,"""",The Elementary Particles,"""","""The Elementary Particles"""
87,"""",Indiana Jones and the Temple of Doom,"""","""Indiana Jones and the Temple of Doom"""
88,"""",Dirty Dancing,"""","""Dirty Dancing"""
89,"""",Indiana Jones and the Last Crusade,"""","""Indiana Jones and the Last Crusade"""
90,"""",Beverly Hills Cop,"""","""Beverly Hills Cop"""
93,"""",Anatomy of a Murder,"""","""Anatomy of a Murder"""
95,"""",Armageddon,"""","""Armageddon"""
96,"""",Beverly Hills Cop II,"""","""Beverly Hills Cop II"""
97,"""",Tron,"""","""Tron"""
98,"""",Gladiator,"""","""Gladiator"""
